-, garden
ID38, ID35, ID35, ID35, ID35, ID35, ID35, ID35, ID39, ID23
ID32, ID12, ID19, ID19, ID19, ID19, ID19, ID19, ID19, ID23
ID32, ID19, ID19, ID19, ID12, ID19, ID19, ID19, ID19, ID23
ID32, ID19, ID19, ID19, ID19, ID19, ID19, ID19, ID19, ID23
ID32, ID19, ID12, ID19, ID17, ID17, ID17, ID17, ID17, ID17
ID32, ID19, ID19, ID19, ID17, ID17, ID17, ID17, ID17, ID17
ID32, ID19, ID19, ID19, ID17, ID17, ID19, ID19, ID19, ID23
ID32, ID19, ID12, ID19, ID17, ID17, ID19, ID19, ID19, ID23
ID32, ID19, ID19, ID19, ID17, ID17, ID19, ID12, ID19, ID23
ID34, ID35, ID35, ID39, ID17, ID17, ID30, ID35, ID39, ID23

-, relaxing room
ID23, ID23, ID23, ID23, ID23, ID23, ID23, ID23, ID23, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID23, ID23, ID23, ID11, ID23, ID23, ID23, ID23, ID23

-, teacher room
ID23, ID23, ID23, ID23, ID23, ID23, ID23, ID23, ID23, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID23, ID23, ID23, ID18, ID23, ID23, ID23, ID23, ID23

-, pub
ID23, ID23, ID23, ID23, ID23, ID23, ID23, ID23, ID23, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID23, ID23, ID23, ID23, ID11, ID23, ID23, ID23, ID23

-, outside
ID38, ID35, ID35, ID39, ID17, ID17, ID30, ID35, ID39, ID23
ID32, ID19, ID19, ID19, ID17, ID17, ID19, ID19, ID12, ID23
ID32, ID19, ID12, ID19, ID17, ID17, ID19, ID19, ID19, ID23
ID32, ID19, ID19, ID19, ID17, ID17, ID19, ID12, ID19, ID23
ID32, ID19, ID17, ID17, ID17, ID17, ID17, ID17, ID19, ID23
ID32, ID19, ID17, ID17, ID17, ID17, ID17, ID17, ID19, ID23
ID32, ID19, ID19, ID19, ID17, ID17, ID12, ID19, ID19, ID23
ID32, ID19, ID19, ID19, ID17, ID17, ID19, ID19, ID19, ID23
ID33, ID12, ID19, ID19, ID17, ID17, ID19, ID19, ID19, ID23
ID23, ID23, ID23, ID23, ID17, ID17, ID23, ID23, ID23, ID23

-, hallway 1
ID23, ID23, ID23, ID23, ID11, ID23, ID23, ID23, ID23, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID23, ID23, ID23, ID23, ID23, ID23, ID23, ID23, ID23
ID12, ID19, ID30, ID35, ID35, ID35, ID35, ID39, ID12, ID19
ID19, ID19, ID12, ID19, ID19, ID19, ID19, ID19, ID19, ID19

-, dininghall
ID23, ID23, ID23, ID23, ID11, ID23, ID23, ID23, ID23, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11
ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID23, ID23, ID23, ID23, ID23, ID23, ID11, ID23, ID23

-, hallway 2
